RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
*,*,*,694,Western Europe,Female,"[25,35[","[3,6[",129732,2,1,0,178124,0
*,*,*,738,Southern Europe,Male,"[35,45[","[3,6[",0,2,1,1,96881,0
*,*,*,730,Western Europe,Female,"[35,45[","[0,3[",99011,1,1,0,194946,0
*,*,*,507,Western Europe,Female,"[35,45[","[0,3[",0,2,1,0,97634,0
*,*,*,580,Southern Europe,Male,"[25,35[","[9,12[",142188,2,0,1,128029,0
*,*,*,657,Southern Europe,Male,"[25,35[","[6,9[",83889,1,1,0,153060,0
*,*,*,624,*,*,*,*,0,2,0,*,196669,0
*,*,*,709,Western Europe,Male,"[25,35[","[6,9[",156552,1,0,1,4411,0
*,*,*,752,Southern Europe,Male,"[45,55[","[3,6[",116060,1,1,0,156618,1
*,*,*,622,Southern Europe,Male,"[35,45[","[9,12[",0,2,0,1,100862,0
*,*,*,613,Western Europe,Female,"[25,35[","[3,6[",131564,2,1,0,170639,0
*,*,*,525,Southern Europe,Female,"[25,35[","[9,12[",0,2,1,0,69362,0
*,*,*,691,Southern Europe,Male,"[35,45[","[6,9[",129935,1,0,0,75665,1
*,*,*,603,Southern Europe,Male,"[55,93[","[6,9[",105001,2,1,1,87412,1
*,*,*,705,Southern Europe,Male,"[35,45[","[6,9[",133261,1,1,1,78066,0
*,*,*,582,Western Europe,Male,"[25,35[","[0,3[",0,2,1,1,132030,0
*,*,*,705,Southern Europe,Male,"[35,45[","[0,3[",111629,1,1,1,21807,0
*,*,*,700,Western Europe,Female,"[35,45[","[6,9[",0,2,1,1,105306,0
*,*,*,589,*,*,*,*,0,2,0,*,168369,0
*,*,*,459,Western Europe,Male,"[45,55[","[3,6[",109388,1,1,0,155721,0
*,*,*,800,Western Europe,Male,"[35,45[","[3,6[",95253,1,1,0,13906,0
*,*,*,579,*,*,*,*,99341,1,0,*,4524,1
*,*,*,516,Western Europe,Female,"[35,45[","[6,9[",113143,1,0,0,3363,0
*,*,*,638,Western Europe,Male,"[35,45[","[6,9[",188455,1,0,0,47031,1
*,*,*,551,Western Europe,Male,"[35,45[","[6,9[",0,2,1,0,178394,0
*,*,*,652,Western Europe,Male,"[45,55[","[3,6[",59486,1,1,0,163944,1
*,*,*,422,Western Europe,Male,"[45,55[","[3,6[",140014,1,0,1,86351,0
*,*,*,695,Western Europe,Male,"[35,45[","[0,3[",100421,1,1,1,101141,0
*,*,*,610,Western Europe,Male,"[45,55[","[0,3[",113957,2,1,0,196527,1
*,*,*,598,Western Europe,Male,"[25,35[","[9,12[",123939,2,1,0,198894,0
*,*,*,664,Western Europe,Male,"[45,55[","[6,9[",0,1,1,1,162720,1
*,*,*,790,Western Europe,Male,"[45,55[","[6,9[",121439,1,1,1,176472,1
*,*,*,753,Western Europe,Female,"[45,55[","[9,12[",113910,3,1,0,92320,1
*,*,*,683,Southern Europe,Male,"[35,45[","[6,9[",0,1,1,0,75848,0
*,*,*,544,Western Europe,Female,"[25,35[","[0,3[",118561,1,1,1,164137,0
*,*,*,525,Western Europe,Male,"[25,35[","[3,6[",131024,2,0,0,55073,0
*,*,*,543,Western Europe,Female,"[25,35[","[0,3[",146566,1,0,1,161407,0
*,*,*,763,Western Europe,Female,"[25,35[","[0,3[",108466,2,1,0,60552,1
*,*,*,469,Western Europe,Female,"[45,55[","[6,9[",139493,3,0,0,150093,1
*,*,*,850,Southern Europe,Male,"[35,45[","[0,3[",141830,1,1,1,92748,0
*,*,*,813,Western Europe,Male,"[25,35[","[0,3[",122890,1,1,1,26476,0
*,*,*,694,Western Europe,Male,"[25,35[","[0,3[",0,3,0,1,15039,0
*,*,*,544,Western Europe,Male,"[25,35[","[3,6[",73219,1,0,1,126797,0
*,*,*,663,Western Europe,Male,"[55,93[","[9,12[",0,3,1,1,72319,0
*,*,*,575,Southern Europe,Male,"[35,45[","[3,6[",0,1,1,0,83595,0
*,*,*,649,Western Europe,Female,"[35,45[","[3,6[",130932,1,1,1,144808,0
*,*,*,570,Western Europe,Female,"[45,55[","[3,6[",129294,1,1,0,177805,1
*,*,*,621,Western Europe,Male,"[35,45[","[6,9[",0,2,1,1,58884,0
*,*,*,619,Western Europe,Female,"[35,45[","[3,6[",92468,1,1,0,38270,0
*,*,*,597,Southern Europe,Female,"[25,35[","[6,9[",0,2,1,0,110253,0
*,*,*,776,Western Europe,Female,"[35,45[","[3,6[",0,2,0,1,162138,0
*,*,*,657,Western Europe,Male,"[35,45[","[6,9[",76495,1,1,0,79072,0
*,*,*,498,Western Europe,Female,"[25,35[","[9,12[",0,2,1,0,13893,0
*,*,*,681,Western Europe,Male,"[35,45[","[3,6[",141952,1,1,1,185144,0
*,*,*,573,Western Europe,Male,"[35,45[","[9,12[",0,2,1,0,11744,0
*,*,*,850,Western Europe,Male,"[18,25[","[6,9[",0,1,1,1,68570,0
*,*,*,850,Western Europe,Female,"[35,45[","[3,6[",212778,1,0,1,69373,0
*,*,*,686,Western Europe,Female,"[35,45[","[3,6[",129554,2,1,0,187600,0
*,*,*,620,Western Europe,Female,"[35,45[","[0,3[",0,2,0,1,65566,0
*,*,*,764,Southern Europe,Male,"[35,45[","[3,6[",113607,1,1,0,91094,0
*,*,*,565,Western Europe,Male,"[45,55[","[6,9[",135370,1,0,1,140130,0
*,*,*,595,Western Europe,Female,"[25,35[","[6,9[",118548,1,1,1,151192,0
*,*,*,617,Southern Europe,Male,"[55,93[","[3,6[",113859,1,1,1,38129,0
*,*,*,850,Western Europe,Female,"[25,35[","[9,12[",0,2,1,1,164865,0
*,*,*,638,Western Europe,Female,"[25,35[","[3,6[",129336,1,1,1,56585,1
*,*,*,430,Western Europe,Female,"[55,93[","[6,9[",73937,1,1,0,161938,1
*,*,*,521,Western Europe,Male,"[18,25[","[3,6[",0,2,1,1,99828,0
*,*,*,770,Western Europe,Female,"[25,35[","[3,6[",0,1,1,0,26081,1
*,*,*,519,Southern Europe,Female,"[55,93[","[0,3[",119035,2,1,1,29872,0
*,*,*,589,Western Europe,Male,"[35,45[","[6,9[",114435,1,1,0,26956,0
*,*,*,612,Western Europe,Female,"[55,93[","[6,9[",140745,1,1,0,193438,1
*,*,*,667,Western Europe,Male,"[25,35[","[9,12[",124573,2,0,0,683,0
*,*,*,670,Western Europe,Female,"[25,35[","[3,6[",102955,2,0,1,134942,0
*,*,*,734,Western Europe,Male,"[35,45[","[6,9[",107806,1,0,0,182506,0
*,*,*,561,Western Europe,Female,"[35,45[","[3,6[",0,2,1,0,59982,0
*,*,*,668,Western Europe,Male,"[45,55[","[0,3[",0,2,0,0,29388,0
*,*,*,678,Southern Europe,Male,"[25,35[","[0,3[",0,1,1,0,35113,0
*,*,*,628,Western Europe,Male,"[35,45[","[3,6[",0,2,1,1,8743,0
*,*,*,540,Western Europe,Male,"[35,45[","[3,6[",127278,1,1,1,16150,0
*,*,*,669,Western Europe,Male,"[35,45[","[0,3[",125530,1,1,1,162261,0
*,*,*,639,Western Europe,Male,"[35,45[","[9,12[",128174,2,1,0,59093,0
*,*,*,615,Western Europe,Male,"[25,35[","[6,9[",0,2,0,0,3183,0
*,*,*,538,Western Europe,Female,"[25,35[","[3,6[",0,2,1,0,126962,0
*,*,*,848,Western Europe,Male,"[25,35[","[3,6[",90018,2,1,0,193133,0
*,*,*,553,Western Europe,Male,"[25,35[","[6,9[",64082,1,0,1,109160,0
*,*,*,727,Western Europe,Male,"[45,55[","[6,9[",114423,2,1,1,104679,1
*,*,*,676,Western Europe,Female,"[25,35[","[0,3[",108349,1,0,0,60232,1
*,*,*,725,Western Europe,Male,"[35,45[","[3,6[",160652,2,1,0,57644,0
*,*,*,850,Western Europe,Female,"[25,35[","[0,3[",130090,2,1,1,4466,0
*,*,*,642,Southern Europe,Male,"[25,35[","[6,9[",100434,1,1,1,39769,0
*,*,*,576,Western Europe,Male,"[35,45[","[0,3[",0,1,1,1,188275,0
*,*,*,523,Western Europe,Female,"[35,45[","[0,3[",143903,1,1,1,118712,1
*,*,*,732,Western Europe,Male,"[25,35[","[6,9[",0,2,1,0,154365,0
*,*,*,433,Southern Europe,Male,"[25,35[","[9,12[",152807,1,1,0,19688,0
*,*,*,667,Western Europe,Male,"[25,35[","[0,3[",119267,1,1,1,28258,0
*,*,*,583,Western Europe,Female,"[35,45[","[3,6[",77648,1,1,0,190430,0
*,*,*,761,Southern Europe,Female,"[25,35[","[0,3[",0,2,1,0,61251,0
*,*,*,683,Western Europe,Male,"[25,35[","[6,9[",0,1,0,0,73564,0
*,*,*,667,Southern Europe,Male,"[55,93[","[0,3[",0,1,1,1,34703,0
*,*,*,542,Western Europe,Male,"[35,45[","[6,9[",65942,1,1,1,68093,1
*,*,*,578,*,*,*,*,0,2,1,*,112125,0
*,*,*,674,Western Europe,Female,"[25,35[","[3,6[",111568,1,0,1,22026,0
*,*,*,743,Southern Europe,Female,"[35,45[","[6,9[",92717,1,1,1,33694,0
*,*,*,621,Western Europe,Male,"[25,35[","[0,3[",74298,1,1,1,52582,0
*,*,*,706,Western Europe,Female,"[35,45[","[3,6[",129606,1,0,0,69865,0
*,*,*,631,Western Europe,Male,"[45,55[","[0,3[",106396,1,1,1,150661,1
*,*,*,823,Western Europe,Female,"[35,45[","[0,3[",0,2,0,1,182496,0
*,*,*,641,Western Europe,Male,"[55,93[","[3,6[",0,2,1,1,122449,0
*,*,*,745,Western Europe,Male,"[45,55[","[3,6[",0,2,0,0,145790,0
*,*,*,747,Western Europe,Male,"[55,93[","[6,9[",116314,1,1,1,190696,1
*,*,*,610,Western Europe,Female,"[25,35[","[3,6[",87262,2,1,0,182720,0
*,*,*,796,Western Europe,Female,"[45,55[","[9,12[",167194,1,1,1,62809,1
*,*,*,503,Western Europe,Male,"[35,45[","[0,3[",0,2,1,1,95153,0
*,*,*,460,Western Europe,Female,"[25,35[","[6,9[",0,2,1,0,156150,1
*,*,*,641,Western Europe,Female,"[35,45[","[9,12[",0,1,0,0,151649,1
*,*,*,687,Western Europe,Female,"[35,45[","[3,6[",99587,1,1,1,1713,1
*,*,*,771,Western Europe,Male,"[25,35[","[3,6[",62322,1,1,1,40921,0
*,*,*,485,Southern Europe,Male,"[25,35[","[6,9[",102238,2,1,1,194010,0
*,*,*,764,Western Europe,Male,"[18,25[","[6,9[",98149,1,1,0,26844,0
*,*,*,611,Western Europe,Female,"[35,45[","[0,3[",125879,1,1,0,93203,0
*,*,*,660,Western Europe,Female,"[25,35[","[6,9[",180520,1,1,1,123851,0
*,*,*,745,Western Europe,Male,"[45,55[","[9,12[",117232,3,1,1,122381,1
*,*,*,619,Southern Europe,Male,"[25,35[","[0,3[",0,1,1,0,139919,0
*,*,*,671,Western Europe,Female,"[25,35[","[3,6[",0,2,1,0,158043,0
*,*,*,648,Southern Europe,Female,"[45,55[","[6,9[",111201,1,1,1,121542,0
*,*,*,614,Southern Europe,Female,"[35,45[","[0,3[",44055,1,1,1,73329,0
*,*,*,602,Western Europe,Female,"[35,45[","[9,12[",0,2,0,0,169921,1
*,*,*,690,Western Europe,Male,"[25,35[","[3,6[",0,2,1,0,108578,0
*,*,*,567,Western Europe,Male,"[35,45[","[6,9[",0,2,0,1,3896,0
*,*,*,678,Western Europe,Male,"[35,45[","[3,6[",0,2,1,0,66562,0
*,*,*,641,Western Europe,Female,"[45,55[","[0,3[",123836,2,0,1,160111,0
*,*,*,588,Western Europe,Female,"[45,55[","[0,3[",143280,2,1,0,31581,1
*,*,*,653,Southern Europe,Male,"[35,45[","[9,12[",0,2,1,1,45956,0
*,*,*,646,Southern Europe,Male,"[25,35[","[0,3[",0,2,1,0,183289,0
*,*,*,663,Western Europe,Male,"[25,35[","[3,6[",108587,1,1,1,182355,0
*,*,*,644,Western Europe,Male,"[45,55[","[9,12[",76817,4,1,0,196371,1
*,*,*,593,Western Europe,Male,"[25,35[","[9,12[",0,2,0,1,20492,0
*,*,*,709,Western Europe,Female,"[25,35[","[0,3[",0,2,0,0,109681,0
*,*,*,673,Western Europe,Male,"[35,45[","[3,6[",73088,2,0,0,196142,0
*,*,*,407,Southern Europe,Male,"[35,45[","[0,3[",0,1,1,1,49161,1
*,*,*,653,Western Europe,Female,"[35,45[","[6,9[",102133,1,1,1,166521,0
*,*,*,783,Western Europe,Female,"[35,45[","[0,3[",139707,1,1,0,2150,0
*,*,*,723,Western Europe,Male,"[45,55[","[6,9[",0,2,1,1,150695,0
*,*,*,595,*,*,*,*,101127,2,0,*,37043,0
*,*,*,850,Western Europe,Male,"[35,45[","[3,6[",126873,1,1,0,197267,0
*,*,*,797,Western Europe,Male,"[25,35[","[0,3[",0,1,0,1,149991,0
*,*,*,754,Western Europe,Female,"[25,35[","[6,9[",0,2,1,0,144135,0
*,*,*,605,Southern Europe,Male,"[25,35[","[3,6[",150093,1,0,0,71863,0
*,*,*,636,Western Europe,Male,"[25,35[","[6,9[",0,2,1,0,38570,0
*,*,*,648,Western Europe,Female,"[45,55[","[9,12[",120633,1,0,0,5924,1
*,*,*,850,Southern Europe,Female,"[35,45[","[9,12[",0,2,1,1,143030,0
*,*,*,798,Western Europe,Female,"[35,45[","[6,9[",119788,1,1,1,164248,0
*,*,*,565,Western Europe,Female,"[35,45[","[0,3[",89995,2,0,1,121084,0
*,*,*,606,Western Europe,Male,"[35,45[","[6,9[",136000,2,1,0,31709,0
*,*,*,602,Western Europe,Female,"[45,55[","[6,9[",76595,2,0,0,127095,0
*,*,*,714,Western Europe,Male,"[35,45[","[3,6[",149887,2,1,0,63846,0
*,*,*,517,Western Europe,Male,"[45,55[","[0,3[",109173,1,1,0,54676,1
*,*,*,771,Southern Europe,Female,"[55,93[","[6,9[",0,2,1,1,51220,0
*,*,*,655,Southern Europe,Male,"[35,45[","[3,6[",250898,3,0,1,81054,1
*,*,*,640,Southern Europe,Male,"[35,45[","[3,6[",0,1,1,1,105997,0
*,*,*,594,Southern Europe,Female,"[35,45[","[6,9[",96858,1,1,0,77511,0
*,*,*,681,Western Europe,Male,"[35,45[","[3,6[",118200,2,1,0,9453,1
*,*,*,670,Western Europe,Female,"[35,45[","[3,6[",119625,2,1,1,110472,0
*,*,*,600,Western Europe,Male,"[45,55[","[6,9[",106262,1,1,0,93630,1
*,*,*,521,Southern Europe,Female,"[25,35[","[6,9[",70731,1,1,1,20244,1
*,*,*,434,Western Europe,Male,"[35,45[","[3,6[",108129,1,0,1,56784,0
*,*,*,527,Southern Europe,Male,"[45,55[","[6,9[",0,1,1,1,51712,0
*,*,*,592,Southern Europe,Female,"[35,45[","[0,3[",200322,1,1,1,113245,0
*,*,*,629,Southern Europe,Female,"[35,45[","[6,9[",125513,2,0,0,79083,0
*,*,*,837,Western Europe,Female,"[25,35[","[9,12[",0,2,1,1,41866,0
*,*,*,680,Western Europe,Male,"[35,45[","[3,6[",116275,1,1,1,63796,0
*,*,*,596,Southern Europe,Male,"[55,93[","[6,9[",0,2,1,1,138351,0
*,*,*,521,Western Europe,Male,"[35,45[","[6,9[",120587,1,0,1,20491,0
*,*,*,608,Southern Europe,Male,"[45,55[","[3,6[",0,2,0,0,36697,1
*,*,*,705,Western Europe,Female,"[35,45[","[9,12[",146548,1,0,1,10073,1
*,*,*,633,Western Europe,Male,"[35,45[","[3,6[",144164,1,1,1,158646,0
*,*,*,850,Western Europe,Female,"[55,93[","[0,3[",96948,3,1,0,62283,1
*,*,*,599,Western Europe,Male,"[25,35[","[3,6[",0,2,1,0,30546,0
*,*,*,608,Western Europe,Female,"[45,55[","[6,9[",0,1,1,1,126013,0
*,*,*,591,Western Europe,Male,"[25,35[","[3,6[",0,2,1,1,48607,0
*,*,*,815,Western Europe,Male,"[35,45[","[0,3[",166115,1,1,0,67208,0
*,*,*,545,Southern Europe,Female,"[25,35[","[3,6[",0,1,1,0,94739,0
*,*,*,749,Southern Europe,Male,"[35,45[","[9,12[",222268,1,0,0,101109,1
*,*,*,797,Western Europe,Female,"[45,55[","[6,9[",0,1,0,0,162668,0
*,*,*,572,Western Europe,Female,"[25,35[","[6,9[",0,1,0,1,175025,0
*,*,*,537,Western Europe,Female,"[45,55[","[6,9[",158621,1,1,0,120893,1
*,*,*,477,Western Europe,Female,"[55,93[","[6,9[",145985,1,1,1,24565,0
*,*,*,718,Western Europe,Female,"[35,45[","[6,9[",0,2,1,1,55100,0
*,*,*,576,Western Europe,Female,"[45,55[","[9,12[",170229,2,0,0,148478,1
*,*,*,712,Western Europe,Male,"[18,25[","[0,3[",0,2,0,1,66796,0
*,*,*,557,Western Europe,Male,"[35,45[","[6,9[",177822,1,1,0,150944,1
*,*,*,543,Western Europe,Male,"[45,55[","[6,9[",59532,1,1,0,104254,0
*,*,*,685,Western Europe,Male,"[35,45[","[9,12[",108589,2,0,1,194809,0
*,*,*,775,Western Europe,Female,"[35,45[","[3,6[",125213,2,1,1,15796,1
*,*,*,705,Western Europe,Male,"[35,45[","[3,6[",72253,2,1,1,142515,0
*,*,*,584,Western Europe,Male,"[35,45[","[9,12[",0,1,1,1,105819,0
*,*,*,655,Western Europe,Female,"[55,93[","[6,9[",0,1,1,0,88958,1
*,*,*,645,Western Europe,Female,"[55,93[","[9,12[",0,4,1,1,176354,1
*,*,*,742,Western Europe,Male,"[35,45[","[3,6[",136857,1,0,0,84510,0
*,*,*,552,Western Europe,Male,"[35,45[","[9,12[",133701,2,1,0,101070,1
*,*,*,749,Western Europe,Male,"[45,55[","[9,12[",78136,2,1,1,73471,0
*,*,*,564,Western Europe,Male,"[25,35[","[6,9[",84007,2,0,0,183491,0
*,*,*,520,Western Europe,Female,"[25,35[","[6,9[",95948,1,1,0,4696,0
*,*,*,521,Western Europe,Female,"[45,55[","[0,3[",127949,1,1,1,182765,0
*,*,*,711,Western Europe,Male,"[55,93[","[3,6[",0,2,1,1,3186,0
*,*,*,678,Southern Europe,Female,"[35,45[","[3,6[",128398,1,1,0,168658,0
*,*,*,556,Western Europe,Male,"[35,45[","[0,3[",115916,2,0,1,125435,1
*,*,*,575,Southern Europe,Male,"[25,35[","[6,9[",0,1,1,1,10666,0
*,*,*,615,Western Europe,Male,"[55,93[","[3,6[",72309,1,1,1,85687,1
*,*,*,574,Southern Europe,Male,"[25,35[","[3,6[",120355,1,1,0,137793,0
*,*,*,472,Western Europe,Male,"[25,35[","[6,9[",102490,1,0,1,181225,0
*,*,*,803,Western Europe,Male,"[25,35[","[6,9[",0,2,1,0,115677,0
*,*,*,510,Western Europe,Male,"[25,35[","[9,12[",103325,1,1,1,46128,0
*,*,*,623,Western Europe,Male,"[45,55[","[3,6[",118469,1,1,1,158590,0
*,*,*,587,Western Europe,Male,"[35,45[","[9,12[",0,2,1,1,170409,0
*,*,*,601,Western Europe,Male,"[45,55[","[0,3[",99786,1,1,1,32684,1
*,*,*,656,Southern Europe,Male,"[25,35[","[3,6[",139585,1,1,0,36309,0
*,*,*,666,Western Europe,Female,"[35,45[","[6,9[",127043,1,1,1,8247,0
*,*,*,505,Southern Europe,Male,"[35,45[","[6,9[",116933,1,1,0,91093,0
*,*,*,726,Western Europe,Female,"[45,55[","[0,3[",113538,1,0,1,28367,0
*,*,*,681,Western Europe,Male,"[35,45[","[3,6[",66339,1,1,1,18772,1
*,*,*,767,Western Europe,Female,"[35,45[","[9,12[",0,2,1,0,39512,0
*,*,*,761,Western Europe,Female,"[25,35[","[6,9[",138054,2,1,0,148779,0
*,*,*,584,Western Europe,Male,"[35,45[","[3,6[",137479,1,1,0,25669,0
*,*,*,850,Western Europe,Female,"[25,35[","[0,3[",116969,1,0,0,175095,0
*,*,*,565,Western Europe,Female,"[35,45[","[6,9[",145401,2,1,1,83845,0
*,*,*,579,Western Europe,Female,"[25,35[","[9,12[",162483,1,1,1,18458,0
*,*,*,608,Western Europe,Male,"[55,93[","[0,3[",0,1,1,0,70650,1
*,*,*,610,Western Europe,Male,"[35,45[","[9,12[",0,1,1,1,149603,0
*,*,*,747,Western Europe,Female,"[25,35[","[3,6[",0,2,0,1,42040,0
*,*,*,610,Western Europe,Male,"[35,45[","[6,9[",0,3,0,0,56119,1
*,*,*,546,Southern Europe,Male,"[35,45[","[6,9[",139071,1,1,1,86945,0
*,*,*,553,Western Europe,Male,"[25,35[","[3,6[",118083,1,0,0,94440,0
*,*,*,597,Western Europe,Male,"[35,45[","[6,9[",78128,2,0,1,109153,0
*,*,*,631,Western Europe,Female,"[25,35[","[0,3[",96864,2,1,1,31613,0
*,*,*,631,Western Europe,Male,"[25,35[","[9,12[",0,2,0,1,196343,0
*,*,*,655,Western Europe,Female,"[35,45[","[6,9[",111853,2,1,0,10511,0
*,*,*,743,Southern Europe,Male,"[35,45[","[0,3[",161807,2,0,1,93229,1
*,*,*,667,Western Europe,Female,"[45,55[","[0,3[",97134,2,0,0,113317,1
*,*,*,527,Southern Europe,Male,"[25,35[","[6,9[",128396,2,1,0,79920,0
*,*,*,724,Western Europe,Male,"[25,35[","[3,6[",103565,2,1,0,121086,0
*,*,*,784,Western Europe,Male,"[25,35[","[6,9[",0,2,1,1,143204,0
*,*,*,613,Western Europe,Female,"[35,45[","[3,6[",140682,1,0,1,20134,0
*,*,*,758,Southern Europe,Male,"[55,93[","[0,3[",0,2,1,1,10643,0
*,*,*,698,Western Europe,Male,"[45,55[","[3,6[",156265,2,0,0,1056,0
*,*,*,677,Western Europe,Female,"[35,45[","[6,9[",0,1,1,0,47319,0
*,*,*,698,Southern Europe,Female,"[35,45[","[0,3[",92053,1,1,1,143682,0
*,*,*,656,Southern Europe,Male,"[55,93[","[6,9[",163975,1,1,1,36108,0
*,*,*,568,Southern Europe,Female,"[45,55[","[3,6[",0,2,1,1,29373,0
*,*,*,554,Southern Europe,Female,"[25,35[","[3,6[",0,2,1,1,135084,0
*,*,*,405,Western Europe,Male,"[35,45[","[9,12[",0,1,1,0,160811,1
*,*,*,554,Western Europe,Female,"[35,45[","[9,12[",135815,2,0,0,115091,0
*,*,*,746,Western Europe,Female,"[18,25[","[3,6[",0,1,0,1,94105,0
*,*,*,794,Southern Europe,Female,"[35,45[","[9,12[",0,2,1,0,68009,0
*,*,*,850,Western Europe,Male,"[35,45[","[0,3[",108509,3,1,0,184045,1
*,*,*,695,Western Europe,Male,"[35,45[","[6,9[",139022,1,0,1,193383,0
*,*,*,741,Western Europe,Female,"[55,93[","[3,6[",0,1,1,1,38915,0
*,*,*,687,Western Europe,Female,"[25,35[","[6,9[",111388,2,1,0,148565,0
*,*,*,720,Western Europe,Female,"[55,93[","[0,3[",162082,4,0,0,27146,1
*,*,*,581,Western Europe,Female,"[45,55[","[0,3[",152509,1,1,0,187598,1
*,*,*,850,Southern Europe,Male,"[45,55[","[6,9[",0,1,0,0,25868,1
*,*,*,674,*,*,*,*,120150,2,1,*,33964,0
*,*,*,515,Western Europe,Female,"[25,35[","[9,12[",0,2,0,0,94142,0
*,*,*,539,Western Europe,Female,"[25,35[","[3,6[",0,2,1,1,100919,0
*,*,*,632,Western Europe,Male,"[25,35[","[0,3[",72549,2,0,1,182729,0
*,*,*,673,Western Europe,Male,"[45,55[","[6,9[",79563,2,1,1,172201,0
*,*,*,670,Western Europe,Female,"[25,35[","[9,12[",84521,2,0,1,198017,0
*,*,*,574,Southern Europe,Male,"[35,45[","[3,6[",77968,1,1,0,167067,1
*,*,*,690,Western Europe,Male,"[35,45[","[6,9[",112690,1,1,0,176962,0
*,*,*,722,Southern Europe,Female,"[25,35[","[3,6[",0,2,1,1,113666,0
*,*,*,781,Southern Europe,Female,"[25,35[","[6,9[",98760,1,0,0,112203,0
