RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
*,*,*,776,France,Female,"[25,35[","[0,12[",178171,2,1,1,115819,0
*,*,*,567,France,Female,"[35,45[","[0,12[",137891,1,1,0,142009,1
*,*,*,819,Germany,Female,"[45,55[","[0,12[",120657,4,0,0,166164,1
*,*,*,737,Germany,Male,"[35,45[","[0,12[",96354,1,0,0,10210,0
*,*,*,432,Spain,Male,"[35,45[","[0,12[",0,2,1,0,150581,0
*,*,*,469,Spain,Male,"[35,45[","[0,12[",96776,1,1,1,119891,0
*,*,*,520,Germany,Male,"[35,45[","[0,12[",150805,3,0,1,25333,1
*,*,*,841,Germany,Female,"[45,55[","[0,12[",112383,1,1,0,85516,1
*,*,*,726,France,Female,"[35,45[","[0,12[",109472,1,0,1,175161,0
*,*,*,584,Germany,Female,"[45,55[","[0,12[",77354,1,0,0,138193,1
*,*,*,726,Spain,Female,"[55,93[","[0,12[",105474,1,1,1,46045,0
*,*,*,645,Germany,Male,"[35,45[","[0,12[",140121,1,1,0,11303,1
*,*,*,725,France,Female,"[35,45[","[0,12[",0,1,0,1,93778,0
*,*,*,554,Germany,Female,"[35,45[","[0,12[",157781,2,1,0,6089,0
*,*,*,552,Germany,Male,"[35,45[","[0,12[",132271,2,1,1,46562,0
*,*,*,535,France,Male,"[25,35[","[0,12[",103805,1,1,1,125711,0
*,*,*,625,France,Female,"[25,35[","[0,12[",0,1,0,0,183646,0
*,*,*,746,France,Male,"[35,45[","[0,12[",0,2,1,0,143194,0
*,*,*,850,France,Male,"[55,93[","[0,12[",0,1,1,0,53068,1
*,*,*,665,Germany,Female,"[35,45[","[0,12[",116322,4,1,0,35640,1
*,*,*,538,France,Male,"[25,35[","[0,12[",93791,1,1,1,199249,0
*,*,*,644,France,Male,"[25,35[","[0,12[",0,1,1,0,96421,0
*,*,*,697,Spain,Female,"[35,45[","[0,12[",168067,1,1,0,35451,0
*,*,*,682,Spain,Male,"[45,55[","[0,12[",0,1,1,1,4654,0
*,*,*,701,France,Male,"[35,45[","[0,12[",107799,1,1,0,16967,0
*,*,*,818,Germany,Male,"[35,45[","[0,12[",105302,1,1,1,78942,0
*,*,*,480,France,Male,"[35,45[","[0,12[",165693,1,1,1,197985,0
*,*,*,628,France,Female,"[25,35[","[0,12[",0,1,0,0,147963,1
*,*,*,671,Germany,Male,"[35,45[","[0,12[",144849,1,1,1,179012,0
*,*,*,631,Spain,Male,"[45,55[","[0,12[",160737,1,0,1,93503,0
*,*,*,466,France,Female,"[35,45[","[0,12[",119540,1,0,1,80604,0
*,*,*,788,Germany,Female,"[45,55[","[0,12[",137456,1,1,0,184178,1
*,*,*,614,Spain,Female,"[35,45[","[0,12[",113348,1,1,1,77789,0
*,*,*,567,Spain,Male,"[25,35[","[0,12[",0,2,0,1,161572,0
*,*,*,660,France,Female,"[25,35[","[0,12[",172326,1,0,1,45438,0
*,*,*,652,France,Female,"[25,35[","[0,12[",103697,3,0,0,155221,1
*,*,*,576,France,Male,"[35,45[","[0,12[",0,2,1,1,48314,0
*,*,*,499,Spain,Female,"[35,45[","[0,12[",147188,1,1,1,14869,1
*,*,*,727,Spain,Female,"[55,93[","[0,12[",109680,1,0,1,753,0
*,*,*,673,Germany,Female,"[55,93[","[0,12[",78833,2,1,1,37196,0
*,*,*,531,France,Female,"[55,93[","[0,12[",114716,1,0,1,24507,1
*,*,*,614,France,Male,"[45,55[","[0,12[",0,2,1,1,5552,0
*,*,*,691,France,Female,"[55,93[","[0,12[",101071,1,1,0,177356,1
*,*,*,829,France,Male,"[35,45[","[0,12[",0,2,1,0,30530,0
*,*,*,513,Spain,Male,"[45,55[","[0,12[",0,1,1,1,114709,1
*,*,*,618,Germany,Male,"[35,45[","[0,12[",37703,1,1,1,195775,0
*,*,*,552,France,Male,"[35,45[","[0,12[",0,2,0,0,132547,0
*,*,*,508,France,Female,"[55,93[","[0,12[",0,1,1,1,6077,0
*,*,*,633,France,Female,"[25,35[","[0,12[",104001,1,0,1,36643,0
*,*,*,614,Spain,Male,"[55,93[","[0,12[",0,2,0,1,180083,0
*,*,*,701,France,Male,"[18,25[","[0,12[",0,2,1,0,38961,0
*,*,*,702,Spain,Male,"[25,35[","[0,12[",0,2,1,1,145537,0
*,*,*,581,France,Female,"[25,35[","[0,12[",102258,2,1,0,194682,0
*,*,*,577,Spain,Male,"[45,55[","[0,12[",179852,1,1,0,193580,0
*,*,*,792,Germany,Male,"[35,45[","[0,12[",115725,2,0,0,1871,0
*,*,*,519,France,Male,"[25,35[","[0,12[",0,1,1,0,68480,0
*,*,*,831,Germany,Male,"[35,45[","[0,12[",111101,1,1,1,28144,1
*,*,*,815,France,Male,"[18,25[","[0,12[",171923,1,0,1,178029,0
*,*,*,709,France,Female,"[35,45[","[0,12[",0,2,0,0,168036,1
*,*,*,657,France,Female,"[35,45[","[0,12[",0,2,1,1,7667,0
*,*,*,421,Germany,Male,"[25,35[","[0,12[",122384,3,1,1,89017,1
*,*,*,804,France,Male,"[55,93[","[0,12[",0,2,1,1,118753,0
*,*,*,694,Germany,Male,"[25,35[","[0,12[",124067,1,1,1,77907,0
*,*,*,671,Germany,Female,"[25,35[","[0,12[",37267,2,0,0,156917,0
*,*,*,588,Germany,Male,"[25,35[","[0,12[",150186,2,1,1,65611,0
*,*,*,537,Germany,Female,"[45,55[","[0,12[",103163,1,1,0,16260,1
*,*,*,792,Germany,Female,"[25,35[","[0,12[",107602,1,1,0,18922,1
*,*,*,610,France,Female,"[45,55[","[0,12[",0,2,1,1,199657,0
*,*,*,727,Germany,Female,"[25,35[","[0,12[",82729,2,1,0,60213,0
*,*,*,585,Spain,Male,"[45,55[","[0,12[",0,2,0,0,189684,0
*,*,*,586,France,Male,"[55,93[","[0,12[",0,2,1,1,53710,0
*,*,*,581,Spain,Female,"[45,55[","[0,12[",0,2,1,1,80702,0
*,*,*,498,*,*,*,*,102453,1,1,*,187248,1
*,*,*,787,Spain,Male,"[35,45[","[0,12[",108935,1,1,1,101168,0
*,*,*,608,Spain,Female,"[35,45[","[0,12[",102407,1,0,1,57601,0
*,*,*,740,France,Male,"[35,45[","[0,12[",0,1,0,1,96528,1
*,*,*,762,Spain,Female,"[35,45[","[0,12[",134205,1,1,1,139971,0
*,*,*,659,France,Female,"[25,35[","[0,12[",89940,1,1,0,136540,0
*,*,*,593,Germany,Female,"[45,55[","[0,12[",133903,2,1,1,85902,1
*,*,*,665,France,Female,"[35,45[","[0,12[",160390,1,0,1,183542,0
*,*,*,777,Germany,Female,"[25,35[","[0,12[",96694,1,1,1,172619,0
*,*,*,376,Germany,Female,"[25,35[","[0,12[",115047,4,1,0,119347,1
*,*,*,732,France,Male,"[35,45[","[0,12[",0,2,1,0,161428,0
*,*,*,598,France,Female,"[35,45[","[0,12[",171178,1,1,0,137981,1
*,*,*,536,Germany,Male,"[18,25[","[0,12[",92367,2,1,0,120662,0
*,*,*,709,Germany,Male,"[18,25[","[0,12[",73314,2,1,0,63446,0
*,*,*,664,France,Female,"[25,35[","[0,12[",114520,2,0,1,79222,0
*,*,*,683,Germany,Male,"[55,93[","[0,12[",124730,1,1,1,52000,0
*,*,*,704,France,Female,"[25,35[","[0,12[",130499,2,1,1,74804,0
*,*,*,732,Spain,Male,"[25,35[","[0,12[",0,1,1,0,119883,0
*,*,*,623,Germany,Female,"[45,55[","[0,12[",108076,1,1,0,118855,1
*,*,*,686,France,Female,"[35,45[","[0,12[",0,1,1,0,133086,0
*,*,*,746,France,Male,"[18,25[","[0,12[",137492,2,0,1,170142,0
*,*,*,652,Spain,Female,"[35,45[","[0,12[",123082,2,1,1,188658,0
*,*,*,664,France,Male,"[55,93[","[0,12[",0,2,1,1,15304,0
*,*,*,594,Germany,Male,"[35,45[","[0,12[",63176,2,1,1,14466,0
*,*,*,689,France,Male,"[25,35[","[0,12[",165312,1,1,0,155496,0
*,*,*,593,France,Male,"[35,45[","[0,12[",0,2,1,1,76357,0
*,*,*,787,France,Male,"[25,35[","[0,12[",0,2,1,0,47308,0
*,*,*,617,Spain,Male,"[55,93[","[0,12[",91070,1,1,1,101840,0
*,*,*,772,Spain,Male,"[35,45[","[0,12[",112030,1,1,1,186948,0
*,*,*,850,France,Male,"[35,45[","[0,12[",0,2,1,1,173851,0
*,*,*,621,Spain,Male,"[25,35[","[0,12[",0,2,1,1,40299,0
*,*,*,491,France,Male,"[25,35[","[0,12[",83134,1,1,0,187947,0
*,*,*,605,Germany,Female,"[25,35[","[0,12[",117993,1,1,1,183599,0
*,*,*,741,France,Female,"[35,45[","[0,12[",0,2,1,1,190535,0
*,*,*,779,Spain,Female,"[55,93[","[0,12[",133296,1,1,0,22833,1
*,*,*,811,Germany,Female,"[25,35[","[0,12[",149297,2,1,1,186340,0
*,*,*,531,France,Female,"[35,45[","[0,12[",0,2,0,1,90537,0
*,*,*,568,Spain,Male,"[35,45[","[0,12[",0,2,1,1,129570,0
*,*,*,692,Germany,Male,"[45,55[","[0,12[",142084,4,1,0,188306,1
*,*,*,697,France,Male,"[35,45[","[0,12[",0,2,1,1,74760,0
*,*,*,674,France,Female,"[25,35[","[0,12[",0,1,1,0,128954,0
*,*,*,645,Spain,Male,"[45,55[","[0,12[",0,2,0,0,10023,0
*,*,*,559,France,Female,"[45,55[","[0,12[",0,1,1,0,21006,1
*,*,*,807,France,Male,"[35,45[","[0,12[",118275,1,1,1,25886,0
*,*,*,619,*,*,*,*,132725,1,1,*,143913,0
*,*,*,690,France,Female,"[25,35[","[0,12[",118098,1,1,0,61258,0
*,*,*,614,France,Female,"[35,45[","[0,12[",123475,1,1,1,179228,0
*,*,*,516,France,Male,"[35,45[","[0,12[",57370,1,1,1,101700,0
*,*,*,735,France,Female,"[35,45[","[0,12[",0,3,0,0,92220,1
*,*,*,691,France,Male,"[35,45[","[0,12[",0,2,0,0,44654,0
*,*,*,635,Spain,Female,"[35,45[","[0,12[",0,2,1,1,65952,0
*,*,*,724,*,*,*,*,118236,2,0,*,157137,0
*,*,*,840,Germany,Female,"[45,55[","[0,12[",87780,1,0,1,36687,1
*,*,*,844,France,Male,"[35,45[","[0,12[",111502,1,1,1,119333,0
*,*,*,826,Spain,Female,"[55,93[","[0,12[",174506,2,0,1,161803,1
*,*,*,670,France,Male,"[55,93[","[0,12[",0,2,1,1,11427,0
*,*,*,590,France,Female,"[55,93[","[0,12[",147752,1,1,0,88206,1
*,*,*,543,Germany,Female,"[25,35[","[0,12[",146566,1,0,1,161407,0
*,*,*,684,France,Male,"[25,35[","[0,12[",0,2,1,0,83474,0
*,*,*,630,Germany,Male,"[45,55[","[0,12[",129371,4,1,1,47775,1
*,*,*,645,Spain,Female,"[45,55[","[0,12[",110133,3,0,1,187690,1
*,*,*,540,France,Female,"[35,45[","[0,12[",165298,1,0,1,199863,0
*,*,*,449,France,Female,"[18,25[","[0,12[",0,2,0,0,175744,0
*,*,*,639,France,Female,"[35,45[","[0,12[",103015,2,1,1,139094,0
*,*,*,690,France,Male,"[25,35[","[0,12[",0,2,1,0,138018,0
*,*,*,635,Germany,Female,"[35,45[","[0,12[",146748,1,0,1,11408,0
*,*,*,529,France,Female,"[25,35[","[0,12[",152311,1,1,0,13054,0
*,*,*,739,Spain,Male,"[18,25[","[0,12[",89750,1,1,0,193009,0
*,*,*,563,France,Male,"[25,35[","[0,12[",90728,1,1,0,122269,0
*,*,*,554,France,Female,"[18,25[","[0,12[",0,2,0,1,142671,0
*,*,*,578,France,Male,"[35,45[","[0,12[",82259,1,1,0,8997,0
*,*,*,685,Spain,Male,"[35,45[","[0,12[",74897,1,1,0,198694,0
*,*,*,669,France,Male,"[45,55[","[0,12[",149714,3,1,1,124872,1
*,*,*,774,Germany,Male,"[35,45[","[0,12[",130810,1,1,0,152290,0
*,*,*,675,France,Male,"[45,55[","[0,12[",0,1,1,0,149584,1
*,*,*,848,Germany,Female,"[35,45[","[0,12[",148496,1,0,0,158854,0
*,*,*,523,France,Male,"[35,45[","[0,12[",158351,2,1,0,155305,0
*,*,*,594,France,Male,"[18,25[","[0,12[",156268,1,1,0,160968,0
*,*,*,778,France,Male,"[35,45[","[0,12[",0,2,1,1,106197,0
*,*,*,686,Spain,Male,"[18,25[","[0,12[",0,2,0,0,142332,0
*,*,*,648,Germany,Male,"[25,35[","[0,12[",135310,2,0,1,171668,0
*,*,*,787,Germany,Male,"[35,45[","[0,12[",132217,1,1,0,20955,1
*,*,*,663,France,Male,"[25,35[","[0,12[",141462,1,1,0,440,0
*,*,*,585,France,Male,"[55,93[","[0,12[",138227,2,1,1,55288,0
*,*,*,700,France,Female,"[25,35[","[0,12[",0,2,0,0,50051,0
*,*,*,485,*,*,*,*,133658,1,1,*,70210,0
*,*,*,776,France,Female,"[35,45[","[0,12[",0,2,0,1,162138,0
*,*,*,739,France,Male,"[35,45[","[0,12[",0,2,0,0,143882,0
*,*,*,518,France,Male,"[35,45[","[0,12[",0,2,0,1,194417,0
*,*,*,549,Germany,Male,"[35,45[","[0,12[",139422,1,0,0,83983,1
*,*,*,740,France,Male,"[25,35[","[0,12[",129575,1,1,1,123300,0
*,*,*,592,France,Male,"[25,35[","[0,12[",0,2,1,1,19646,0
*,*,*,661,France,Female,"[25,35[","[0,12[",0,2,1,1,76890,0
*,*,*,725,France,Male,"[35,45[","[0,12[",75916,1,1,0,150507,0
*,*,*,715,France,Male,"[25,35[","[0,12[",175307,1,1,0,187051,0
*,*,*,466,France,Male,"[25,35[","[0,12[",156816,1,1,1,137476,0
*,*,*,707,France,Male,"[25,35[","[0,12[",136679,1,1,0,54291,0
*,*,*,627,Spain,Female,"[55,93[","[0,12[",0,1,0,0,91944,1
*,*,*,749,Germany,Male,"[45,55[","[0,12[",144769,1,1,0,93336,1
*,*,*,654,Spain,Female,"[45,55[","[0,12[",0,2,0,1,47139,0
*,*,*,700,Spain,Female,"[35,45[","[0,12[",0,2,1,0,199754,0
*,*,*,653,Spain,Female,"[35,45[","[0,12[",149572,1,1,0,118383,0
*,*,*,621,Germany,Female,"[25,35[","[0,12[",91259,2,1,0,44857,0
*,*,*,552,France,Female,"[35,45[","[0,12[",134105,1,0,0,57850,0
*,*,*,745,France,Male,"[35,45[","[0,12[",92567,2,1,0,161520,0
*,*,*,559,France,Male,"[45,55[","[0,12[",147070,1,1,0,120541,1
*,*,*,631,France,Male,"[25,35[","[0,12[",0,2,1,1,18582,0
*,*,*,763,Spain,Female,"[25,35[","[0,12[",95154,1,0,1,81310,0
*,*,*,607,Spain,Female,"[25,35[","[0,12[",0,3,0,1,10675,0
*,*,*,519,Germany,Female,"[18,25[","[0,12[",151701,3,1,1,170139,1
*,*,*,709,France,Male,"[35,45[","[0,12[",0,2,1,0,56214,0
*,*,*,620,France,Male,"[25,35[","[0,12[",0,2,1,1,199909,0
*,*,*,512,France,Male,"[45,55[","[0,12[",144953,1,1,1,165035,0
*,*,*,484,*,*,*,*,149350,3,0,*,137520,1
*,*,*,593,Germany,Female,"[35,45[","[0,12[",142658,2,0,1,135337,0
*,*,*,563,Spain,Female,"[35,45[","[0,12[",143680,2,1,1,63531,0
*,*,*,482,France,Male,"[35,45[","[0,12[",124976,1,1,0,35848,0
*,*,*,713,France,Female,"[45,55[","[0,12[",185892,1,1,1,46370,1
*,*,*,700,Spain,Male,"[25,35[","[0,12[",159900,1,0,0,22699,0
*,*,*,699,France,Female,"[45,55[","[0,12[",0,1,0,0,105760,0
*,*,*,613,Germany,Male,"[35,45[","[0,12[",147857,3,0,0,107961,1
*,*,*,486,Germany,Female,"[35,45[","[0,12[",71340,1,1,0,76192,0
*,*,*,660,France,Male,"[25,35[","[0,12[",106487,2,0,1,182263,0
*,*,*,609,France,Female,"[35,45[","[0,12[",147900,1,1,0,140000,0
*,*,*,692,Germany,Female,"[35,45[","[0,12[",69014,2,0,0,164621,0
*,*,*,788,Spain,Female,"[55,93[","[0,12[",0,2,1,1,41611,0
*,*,*,850,*,*,*,*,96948,3,1,*,62283,1
*,*,*,638,France,Female,"[35,45[","[0,12[",145861,1,1,1,142764,1
*,*,*,559,Spain,Male,"[55,93[","[0,12[",125919,1,1,0,175911,1
*,*,*,666,*,*,*,*,124125,1,1,*,81885,0
*,*,*,528,France,Female,"[25,35[","[0,12[",102074,2,0,0,166800,0
*,*,*,426,France,Male,"[25,35[","[0,12[",0,2,1,0,107877,0
*,*,*,526,France,Male,"[25,35[","[0,12[",125540,1,0,0,86786,0
*,*,*,850,France,Male,"[25,35[","[0,12[",0,2,0,0,152997,0
*,*,*,620,Germany,Male,"[35,45[","[0,12[",159493,1,1,0,80582,1
*,*,*,719,Spain,Female,"[25,35[","[0,12[",0,1,0,0,76264,0
*,*,*,495,France,Female,"[35,45[","[0,12[",63093,1,1,1,47090,0
*,*,*,608,France,Female,"[55,93[","[0,12[",144976,1,0,0,175836,1
*,*,*,749,Germany,Female,"[35,45[","[0,12[",141783,2,0,0,86334,0
*,*,*,594,Germany,Male,"[18,25[","[0,12[",132695,1,1,0,167690,0
*,*,*,850,Spain,Male,"[35,45[","[0,12[",132838,1,1,1,175347,0
*,*,*,630,Spain,Male,"[25,35[","[0,12[",0,2,0,1,10487,0
*,*,*,691,France,Male,"[35,45[","[0,12[",149405,1,1,1,146412,0
*,*,*,596,France,Male,"[35,45[","[0,12[",0,2,1,1,12067,0
*,*,*,601,France,Male,"[35,45[","[0,12[",98627,2,0,0,77978,0
*,*,*,630,Germany,Female,"[18,25[","[0,12[",137965,1,0,1,174571,0
*,*,*,688,Germany,Female,"[45,55[","[0,12[",74458,1,0,1,6866,0
*,*,*,622,Germany,Male,"[35,45[","[0,12[",115766,1,0,0,72156,1
*,*,*,497,Spain,Male,"[25,35[","[0,12[",75263,1,1,1,164825,0
*,*,*,644,France,Male,"[25,35[","[0,12[",155060,1,1,0,29180,0
*,*,*,579,Spain,Male,"[35,45[","[0,12[",145844,1,1,1,198402,1
*,*,*,616,Germany,Female,"[45,55[","[0,12[",128353,3,1,1,144001,1
*,*,*,674,France,Female,"[25,35[","[0,12[",0,2,1,1,138423,0
*,*,*,760,Spain,Male,"[25,35[","[0,12[",141039,2,0,0,16287,0
*,*,*,812,Spain,Female,"[35,45[","[0,12[",0,3,1,0,66927,1
*,*,*,610,France,Female,"[25,35[","[0,12[",159562,1,0,1,103381,0
*,*,*,540,Spain,Female,"[35,45[","[0,12[",0,2,1,0,3560,0
*,*,*,587,France,Female,"[35,45[","[0,12[",70784,1,1,0,30580,0
*,*,*,756,France,Male,"[35,45[","[0,12[",132624,1,1,1,58974,0
*,*,*,660,France,Female,"[25,35[","[0,12[",114669,1,1,0,84605,0
*,*,*,602,France,Male,"[18,25[","[0,12[",113758,2,0,0,84078,0
*,*,*,849,France,Male,"[55,93[","[0,12[",71996,1,1,1,139066,0
*,*,*,581,Germany,Male,"[35,45[","[0,12[",101017,1,0,1,7926,1
*,*,*,745,Spain,Female,"[45,55[","[0,12[",0,1,1,0,173912,1
*,*,*,790,Germany,Male,"[35,45[","[0,12[",85840,1,1,0,198183,0
*,*,*,743,France,Male,"[35,45[","[0,12[",0,2,0,0,113079,1
*,*,*,466,France,Male,"[25,35[","[0,12[",0,2,1,1,2797,0
*,*,*,842,Spain,Female,"[35,45[","[0,12[",112652,2,1,0,126645,0
*,*,*,850,France,Male,"[25,35[","[0,12[",140957,1,0,0,3510,0
*,*,*,703,France,Male,"[25,35[","[0,12[",81174,2,0,1,162812,0
*,*,*,763,France,Female,"[45,55[","[0,12[",0,1,1,0,77204,1
*,*,*,618,France,Female,"[35,45[","[0,12[",0,1,1,0,119059,0
*,*,*,717,Germany,Female,"[25,35[","[0,12[",115777,1,1,1,81508,0
*,*,*,620,France,Female,"[25,35[","[0,12[",138740,2,0,0,154701,0
*,*,*,708,France,Female,"[55,93[","[0,12[",0,1,1,0,179673,1
*,*,*,593,France,Male,"[35,45[","[0,12[",0,2,1,1,99136,0
*,*,*,641,France,Female,"[45,55[","[0,12[",0,1,1,0,90965,1
*,*,*,657,France,Female,"[35,45[","[0,12[",95846,1,1,0,122218,0
*,*,*,608,France,Female,"[25,35[","[0,12[",88773,1,1,1,168822,0
*,*,*,645,France,Female,"[55,93[","[0,12[",0,2,1,1,18369,0
*,*,*,788,France,Female,"[35,45[","[0,12[",0,1,1,1,25571,0
*,*,*,707,Spain,Female,"[45,55[","[0,12[",0,1,1,0,109689,1
*,*,*,623,France,Female,"[35,45[","[0,12[",0,2,1,0,101192,0
*,*,*,723,Germany,Female,"[45,55[","[0,12[",153856,1,1,1,180862,1
*,*,*,675,France,Female,"[55,93[","[0,12[",62055,3,1,0,166305,1
*,*,*,755,France,Male,"[35,45[","[0,12[",104817,1,1,0,126014,1
*,*,*,814,France,Female,"[25,35[","[0,12[",0,2,1,1,142029,0
*,*,*,640,France,Male,"[35,45[","[0,12[",111833,1,1,0,67203,0
*,*,*,566,*,*,*,*,120100,1,1,*,107563,1
*,*,*,690,France,Female,"[35,45[","[0,12[",0,2,0,1,120512,0
*,*,*,750,France,Female,"[25,35[","[0,12[",0,2,1,0,95611,0
*,*,*,508,France,Female,"[25,35[","[0,12[",0,2,1,1,6123,0
*,*,*,665,France,Male,"[25,35[","[0,12[",137300,1,1,0,90175,0
*,*,*,718,Germany,Male,"[35,45[","[0,12[",132616,2,1,0,32999,0
*,*,*,754,Spain,Male,"[35,45[","[0,12[",0,2,1,1,9658,0
*,*,*,681,France,Female,"[18,25[","[0,12[",98894,1,1,1,9596,0
*,*,*,676,France,Female,"[35,45[","[0,12[",101457,1,1,1,79102,0
*,*,*,637,Germany,Male,"[35,45[","[0,12[",147128,2,1,1,84761,0
*,*,*,850,France,Male,"[35,45[","[0,12[",0,2,1,1,80007,0
*,*,*,539,Spain,Male,"[25,35[","[0,12[",0,2,1,0,48382,0
*,*,*,628,Spain,Female,"[55,93[","[0,12[",0,3,1,0,85891,1
*,*,*,592,*,*,*,*,124593,1,1,*,86080,0
*,*,*,821,France,Female,"[25,35[","[0,12[",0,1,1,1,36754,0
*,*,*,562,France,Male,"[55,93[","[0,12[",0,2,1,0,105986,0
*,*,*,777,France,Female,"[25,35[","[0,12[",131241,1,1,1,163746,1
*,*,*,606,Spain,Male,"[35,45[","[0,12[",94154,1,0,1,120138,0
*,*,*,544,France,Female,"[25,35[","[0,12[",110728,1,1,1,14560,0
*,*,*,570,Germany,Male,"[25,35[","[0,12[",122029,2,1,1,173793,0
*,*,*,554,Germany,Female,"[45,55[","[0,12[",108755,1,1,0,40914,1
*,*,*,726,France,Male,"[35,45[","[0,12[",132058,2,1,0,34744,0
*,*,*,595,Germany,Female,"[25,35[","[0,12[",106570,2,0,1,177026,0
*,*,*,746,France,Male,"[25,35[","[0,12[",0,2,0,1,88728,0
*,*,*,699,France,Female,"[25,35[","[0,12[",110559,1,1,1,127430,0
*,*,*,572,Spain,Female,"[25,35[","[0,12[",0,2,1,0,119381,0
*,*,*,649,France,Female,"[25,35[","[0,12[",0,2,1,0,15201,0
*,*,*,660,France,Male,"[45,55[","[0,12[",0,3,1,1,191849,1
*,*,*,701,Spain,Female,"[25,35[","[0,12[",107980,1,1,1,119375,0
*,*,*,692,France,Female,"[25,35[","[0,12[",95059,2,1,0,44420,0
*,*,*,653,Spain,Male,"[55,93[","[0,12[",0,2,1,1,41967,0
*,*,*,786,France,Male,"[25,35[","[0,12[",120452,2,0,0,79603,0
